JAHR,BFS_NR_GEMEINDE,GEMEINDE_NAME,EINWOHNER,energiebezugsflaeche,erdoelbrennstoffe,erdgas,elektrizitaet,holzenergie,fernwaerme,umweltwaerme,solarwaerme,andere,total
2019,4451,Uttwil,1889,160708,6.035,7.255,1.83,0.934,,1.16,0.108,0.21,17.532
2019,4621,Warth-Weiningen,1334,127439,6.437,6.648,1.671,3.342,0.056,1.673,0.077,0.199,20.104
2019,4951,Wigoltingen,2456,218490,8.728,7.022,2.441,4.217,0.15,2.692,0.128,0.011,25.389
2019,4786,Wilen (TG),2515,193062,4.303,10.833,1.227,0.613,0.158,1.462,0.164,,18.76
2019,4461,Amriswil,13745,1151040,56.324,33.802,9.6,8.252,4.15,10.51,0.446,0.093,123.179
2019,4536,Basadingen-Schlattingen,1828,166891,10.087,0.317,2.911,3.12,0.103,2.728,0.165,,19.431
2019,4471,Bischofszell,5963,499888,27.68,13.097,5.58,5.92,0.539,5.022,0.232,0.506,58.577
2019,4643,Bottighofen,2295,205666,6.338,7.752,1.671,1.489,0.144,2.209,0.219,,19.822
2019,4921,Bussnang,2452,208143,8.604,4.626,2.57,5.498,0.146,2.729,0.247,0.085,24.505
2019,4406,Dozwil,684,50367,2.231,0.885,0.782,1.129,0.065,0.659,0.03,,5.781
2019,4806,Eschenz,1833,161517,5.127,7.093,1.499,2.118,1.372,1.294,0.133,0.108,18.744
2019,4724,Eschlikon,4464,410930,10.923,16.5,3.144,2.045,3.286,2.738,0.38,0.126,39.143
2019,4726,Fischingen,2792,271504,12.768,,3.897,9.445,3.941,2.448,0.423,0.061,32.984
2019,4566,Frauenfeld,25622,2408479,64.79,141.874,10.41,11.026,9.862,10.191,0.789,0.413,249.356
2019,4486,Hauptwil-Gottshaus,1987,169436,8.917,4.147,2.068,2.994,0.007,2.016,0.144,,20.292
2019,4416,Hefenhofen,1201,111421,4.252,3.511,1.446,2.403,0.131,1.045,0.053,,12.84
2019,4590,Hüttlingen,840,75152,2.617,,1.318,3.139,0.751,1.028,0.03,0.019,8.903
2019,4671,Kreuzlingen,22193,1841182,76.653,76.223,10.852,8.275,0.629,12.642,0.927,0.174,186.374
2019,4681,Langrickenbach,1274,120403,3.6,0.007,1.724,6.427,0.158,1.789,0.06,,13.765
